ExcelCode,QudtIRI,CollectionID,QudtMissing
%,unit:PERCENT,numerical,
BTU,unit:BTU_IT,energy,
D,unit:DARCY,permeability,
GJ,unit:GigaJ,energy,
MBTU,unit:KiloBTU_IT,energy,1
ML,unit:MegaL,volume,
ML/d,unit:MegaL-PER-DAY,flow-rate,
MMBTU,unit:MegaBTU_IT,energy,1
MMcf ,unit:MegaFT3,volume,1
MMcf/d,unit:MegaFT3-PER-DAY,flow-rate,1
MMm3,unit:MegaM3,volume,1
Mt,unit:MegaTONNE,mass,1
PJ,unit:PetaJ,energy,
RPM,unit:REV-PER-MIN,rotation,
atm,unit:ATM,pressure,
bar,unit:BAR,pressure,
bbl,unit:BBL_UK_PET,volume,
bbl/d,unit:BBL_UK_PET-PER-DAY,flow-rate,
bbl/hr,unit:BBL_UK_PET-PER-HR,flow-rate,
bbl/min,unit:BBL_UK_PET-PER-MIN,flow-rate,
cf/hr or ft3/d,unit:FT3-PER-DAY,flow-rate,
cm,unit:CentiM,length,
cm3 or cc,unit:CentiM3,volume,
cm3/t,unit:CentiM3-PER-TONNE,concentration,1
count,unit:COUNT,numerical,1
cp,unit:CentiPOISE,viscosity,
d,unit:DAYS,time,1
decfrac,unit:FRACTION,numerical,
degc,unit:DEG_C,temperature,
degf,unit:DEG_F,temperature,
ft,unit:FT,length,
ft/hr,unit:FT-PER-HR,velocity,
ft/s,unit:FT-PER-SEC,velocity,
ft3 or cf,unit:FT3,volume,
ft3/ton,unit:FT3-TON_LONG,concentration,1
g,unit:GM,mass,
g/cc,unit:GM-PER-CentiM3,density,
g/kg,unit:GM-PER-KiloGM3,concentration,1
g/t,unit:GM-PER-TONNE,concentration,1
gal,unit:GAL_UK,volume,
hr,unit:HR,time,
hrs/ft,unit:HR-PER-FT,drill-rate,1
hrs/m,unit:HR-PER-M,drill-rate,1
hz,unit:HZ,frequency,
in,unit:IN,length,
kbbl,unit:KiloBBL_UK_PET,volume,
kg,unit:KiloGM,mass,
kg/m3,unit:KiloGM-PER-M3,density,
kl,unit:KiloL,volume,
kl/d,unit:KiloL-PER-DAY,flow-rate,1
klbs,unit:KiloLB,mass,1
kpa,unit:KiloPA,pressure,
l,unit:L,volume,
l/d,unit:L-PER-DAY,flow-rate,
l/hr,unit:L-PER-HR,flow-rate,
l/min,unit:L-PER-MIN,flow-rate,
lbs,unit:LB,mass,
lbs/ft3,unit:LB-PER-FT3,density,
lbs/gal,unit:LB-PER-GAL,mud-weight,
m,unit:M,length,
m/hr,unit:M-PER-HR,velocity,
m/s,unit:M-PER-SEC,velocity,
m3,unit:M3,volume,
m3/d,unit:M3-PER-DAY,flow-rate,
m3/hr,unit:M3-PER-HR,flow-rate,
m3/t,unit:M3-PER-TONNE,concentration,1
m3/t,unit:M3-PER-TONNE,gas-content,1
mD,unit:MilliDARCY,permeability,
mcf or kft3,unit:Kilo-FT3,volume,
mg,unit:MilliGM,mass,
mg/gTOC,unit:MilliGM-PER-GM-TOC,concentration,1
mg/t,unit:MilliGM-PER-TONNE,concentration,
min,unit:MIN,time,
mm,unit:MilliM,length,
mpa,unit:MegaPA,pressure,
ms,unit:MilliS,time,
ohmms,unit:OHM,resitivity,
oz,unit:OZ,mass,
oz/t,unit:OZ-PER-TONNE,concentration,1
oz/ton,unit:OZ-PER-TON_LONG,concentration,1
pa,unit:PA,pressure,
pa.s,unit:PA-SEC,viscosity,
ppb,unit:PPB,assay_levels,
ppb,unit:PPB,concentration,
ppm,unit:PPM,assay_levels,
ppm,unit:PPM,concentration,
psi,unit:PSI,pressure,
scf/ton,unit:FT3-PER-TON_LONG,gas-content,
sec,unit:SEC,time,
sg,unit:RELATIVE-DENSITY,density,1
sht/ft,unit:SHOTS-PER-FT,perf-spacing,1
sht/m,unit:SHOTS-PER-M,perf-spacing,1
t,unit:TONNE,mass,
vol%,unit:PERCENT-BY-VOL,assay_levels,1
vol%,unit:PERCENT-BY-VOL,concentration,1
wt%,unit:PERCENT-BY-MASS,assay_levels,1
wt%,unit:PERCENT-BY-MASS,concentration,1
µS/cm,unit:MicroS-PER-CentiM,conductivity,
